Descriptif de l'échantillon;;"Erpouvette courbe 60°"
Géométrie;;"Rectangulaire"
Épaisseur;(mm);"4.00"
Largeur;(mm);"10.00"
Longueur;(mm);"45.00"

Tableau de résultats 1
;Numéro d'éprouvette;Vitesse d'essai;Contrainte Maximum ;Allongement max;Module de Young ;Contrainte  à Rupture ;Allongement à rupture
;;(mm/min);(MPa);(%);(MPa);(MPa);(%)
"1";"PETG-30-010824-1";"50.00";"32.68";"21.38";"271.15";"5.97";"24.75"
"2";"PETG-30-010824-2";"50.00";"21.23";"12.56";"275.91";"0.03";"32.05"
"3";"PETG-30-010824-3";"50.00";"28.12";"19.75";"269.44";"0.01";"35.49"
"4";"PETG-30-010824-4";"50.00";"32.99";"22.16";"284.15";"2.91";"26.08"
"5";"PETG-30-010824-5";"50.00";"21.82";"12.31";"286.76";"0.00";"30.68"
"6";"PETG-30-010824-6";"50.00";"34.91";"21.16";"279.78";"0.01";"40.53"
"7";"PETG-30-010824-7";"50.00";"21.74";"12.56";"280.48";"0.00";"29.23"
"Moyenne";"";"50.00";"27.64";"17.41";"278.24";"1.28";"31.26"

Tableau de résultats 2


1;Temps;Déplacement;Force;Contrainte de traction;Déformation de traction (Déplacement)
;(s);(mm);(kN);(MPa);(%)
"";"0.0000";"0.0000";"0.0001";"0.0026";"0.0000"
"";"0.0200";"0.0049";"0.0001";"0.0032";"0.0108"
"";"0.0400";"0.0216";"0.0003";"0.0068";"0.0480"
"";"0.0600";"0.0389";"0.0005";"0.0119";"0.0864"
"";"0.0800";"0.0554";"0.0015";"0.0377";"0.1232"
"";"0.1000";"0.0720";"0.0028";"0.0695";"0.1599"
"";"0.1200";"0.0883";"0.0039";"0.0985";"0.1963"
"";"0.1400";"0.1050";"0.0053";"0.1313";"0.2334"
"";"0.1600";"0.1216";"0.0070";"0.1757";"0.2702"
"";"0.1800";"0.1382";"0.0091";"0.2265";"0.3071"
"";"0.2000";"0.1547";"0.0112";"0.2807";"0.3438"
"";"0.2200";"0.1712";"0.0135";"0.3365";"0.3805"
"";"0.2400";"0.1879";"0.0157";"0.3925";"0.4176"
"";"0.2600";"0.2046";"0.0179";"0.4487";"0.4546"
"";"0.2800";"0.2211";"0.0202";"0.5047";"0.4913"
"";"0.3000";"0.2377";"0.0224";"0.5597";"0.5282"
"";"0.3200";"0.2543";"0.0245";"0.6114";"0.5650"
"";"0.3400";"0.2710";"0.0263";"0.6569";"0.6021"
"";"0.3600";"0.2878";"0.0276";"0.6900";"0.6397"
"";"0.3800";"0.3044";"0.0286";"0.7162";"0.6765"
"";"0.4000";"0.3210";"0.0302";"0.7546";"0.7134"
"";"0.4200";"0.3376";"0.0326";"0.8151";"0.7503"
"";"0.4400";"0.3543";"0.0354";"0.8838";"0.7873"
"";"0.4600";"0.3710";"0.0382";"0.9546";"0.8245"
"";"0.4800";"0.3875";"0.0411";"1.0270";"0.8612"
"";"0.5000";"0.4041";"0.0440";"1.0988";"0.8981"
"";"0.5200";"0.4208";"0.0469";"1.1725";"0.9351"
"";"0.5400";"0.4375";"0.0499";"1.2466";"0.9722"
"";"0.5600";"0.4543";"0.0529";"1.3219";"1.0095"
"";"0.5800";"0.4708";"0.0559";"1.3986";"1.0463"
"";"0.6000";"0.4874";"0.0590";"1.4755";"1.0831"
"";"0.6200";"0.5041";"0.0621";"1.5536";"1.1203"
"";"0.6400";"0.5208";"0.0653";"1.6324";"1.1572"
"";"0.6600";"0.5375";"0.0685";"1.7113";"1.1945"
"";"0.6800";"0.5541";"0.0716";"1.7891";"1.2314"
"";"0.7000";"0.5707";"0.0748";"1.8705";"1.2683"
"";"0.7200";"0.5875";"0.0782";"1.9545";"1.3055"
"";"0.7400";"0.6042";"0.0816";"2.0392";"1.3426"
"";"0.7600";"0.6210";"0.0850";"2.1243";"1.3800"
"";"0.7800";"0.6376";"0.0884";"2.2094";"1.4168"
"";"0.8000";"0.6541";"0.0918";"2.2958";"1.4536"
"";"0.8200";"0.6708";"0.0954";"2.3840";"1.4907"
"";"0.8400";"0.6876";"0.0989";"2.4723";"1.5279"
"";"0.8600";"0.7042";"0.1024";"2.5603";"1.5649"
"";"0.8800";"0.7209";"0.1059";"2.6481";"1.6020"
"";"0.9000";"0.7374";"0.1095";"2.7369";"1.6387"
"";"0.9200";"0.7542";"0.1131";"2.8274";"1.6759"
"";"0.9400";"0.7710";"0.1168";"2.9195";"1.7134"
"";"0.9600";"0.7876";"0.1206";"3.0138";"1.7503"
"";"0.9800";"0.8042";"0.1244";"3.1088";"1.7872"
"";"1.0000";"0.8208";"0.1281";"3.2032";"1.8239"
"";"1.0200";"0.8375";"0.1318";"3.2943";"1.8612"
"";"1.0400";"0.8543";"0.1354";"3.3841";"1.8984"
"";"1.0600";"0.8708";"0.1389";"3.4737";"1.9352"
"";"1.0800";"0.8875";"0.1425";"3.5629";"1.9721"
"";"1.1000";"0.9041";"0.1461";"3.6537";"2.0091"
"";"1.1200";"0.9208";"0.1498";"3.7460";"2.0463"
"";"1.1400";"0.9377";"0.1536";"3.8390";"2.0837"
"";"1.1600";"0.9541";"0.1573";"3.9323";"2.1203"
"";"1.1800";"0.9707";"0.1610";"4.0238";"2.1571"
"";"1.2000";"0.9874";"0.1646";"4.1147";"2.1942"
"";"1.2200";"1.0040";"0.1682";"4.2058";"2.2312"
"";"1.2400";"1.0208";"0.1719";"4.2983";"2.2684"
"";"1.2600";"1.0373";"0.1756";"4.3912";"2.3051"
"";"1.2800";"1.0539";"0.1793";"4.4836";"2.3421"
"";"1.3000";"1.0708";"0.1830";"4.5758";"2.3794"
"";"1.3200";"1.0874";"0.1868";"4.6692";"2.4165"
"";"1.3400";"1.1043";"0.1905";"4.7629";"2.4539"
"";"1.3600";"1.1208";"0.1943";"4.8581";"2.4907"
"";"1.3800";"1.1374";"0.1982";"4.9546";"2.5275"
"";"1.4000";"1.1541";"0.2021";"5.0519";"2.5647"
"";"1.4200";"1.1707";"0.2060";"5.1495";"2.6016"
"";"1.4400";"1.1874";"0.2099";"5.2464";"2.6387"
"";"1.4600";"1.2041";"0.2137";"5.3428";"2.6758"
"";"1.4800";"1.2207";"0.2175";"5.4377";"2.7127"
"";"1.5000";"1.2375";"0.2213";"5.5321";"2.7500"
"";"1.5200";"1.2542";"0.2251";"5.6266";"2.7871"
"";"1.5400";"1.2709";"0.2289";"5.7228";"2.8242"
"";"1.5600";"1.2875";"0.2328";"5.8201";"2.8612"
"";"1.5800";"1.3041";"0.2367";"5.9174";"2.8979"
"";"1.6000";"1.3208";"0.2406";"6.0152";"2.9352"
"";"1.6200";"1.3375";"0.2445";"6.1134";"2.9723"
"";"1.6400";"1.3542";"0.2484";"6.2110";"3.0092"
"";"1.6600";"1.3708";"0.2524";"6.3091";"3.0462"
"";"1.6800";"1.3874";"0.2563";"6.4073";"3.0830"
"";"1.7000";"1.4041";"0.2603";"6.5071";"3.1202"
"";"1.7200";"1.4209";"0.2643";"6.6068";"3.1576"
"";"1.7400";"1.4375";"0.2683";"6.7069";"3.1945"
"";"1.7600";"1.4541";"0.2722";"6.8055";"3.2313"
"";"1.7800";"1.4707";"0.2761";"6.9029";"3.2683"
"";"1.8000";"1.4874";"0.2801";"7.0017";"3.3053"
"";"1.8200";"1.5042";"0.2841";"7.1022";"3.3426"
"";"1.8400";"1.5207";"0.2881";"7.2025";"3.3793"
"";"1.8600";"1.5373";"0.2920";"7.3011";"3.4162"
"";"1.8800";"1.5540";"0.2960";"7.3999";"3.4532"
"";"1.9000";"1.5707";"0.3000";"7.5004";"3.4905"
"";"1.9200";"1.5876";"0.3040";"7.6011";"3.5280"
"";"1.9400";"1.6040";"0.3081";"7.7019";"3.5645"
"";"1.9600";"1.6204";"0.3120";"7.8007";"3.6009"
"";"1.9800";"1.6372";"0.3160";"7.8988";"3.6383"
"";"2.0000";"1.6540";"0.3200";"8.0005";"3.6756"
"";"2.0200";"1.6707";"0.3242";"8.1043";"3.7127"
"";"2.0400";"1.6873";"0.3283";"8.2076";"3.7496"
"";"2.0600";"1.7039";"0.3324";"8.3091";"3.7864"
"";"2.0800";"1.7207";"0.3363";"8.4081";"3.8237"
"";"2.1000";"1.7374";"0.3403";"8.5076";"3.8610"
"";"2.1200";"1.7542";"0.3443";"8.6083";"3.8982"
"";"2.1400";"1.7708";"0.3484";"8.7105";"3.9350"
"";"2.1600";"1.7873";"0.3525";"8.8122";"3.9718"
"";"2.1800";"1.8042";"0.3565";"8.9131";"4.0093"
"";"2.2000";"1.8209";"0.3605";"9.0125";"4.0464"
"";"2.2200";"1.8375";"0.3645";"9.1126";"4.0834"
"";"2.2400";"1.8541";"0.3686";"9.2138";"4.1202"
"";"2.2600";"1.8707";"0.3726";"9.3147";"4.1571"
"";"2.2800";"1.8875";"0.3766";"9.4148";"4.1944"
"";"2.3000";"1.9043";"0.3806";"9.5161";"4.2318"
"";"2.3200";"1.9209";"0.3847";"9.6170";"4.2686"
"";"2.3400";"1.9375";"0.3887";"9.7164";"4.3055"
"";"2.3600";"1.9541";"0.3926";"9.8157";"4.3425"
"";"2.3800";"1.9708";"0.3966";"9.9144";"4.3796"
"";"2.4000";"1.9875";"0.4006";"10.0146";"4.4168"
"";"2.4200";"2.0041";"0.4046";"10.1153";"4.4536"
"";"2.4400";"2.0208";"0.4086";"10.2147";"4.4907"
"";"2.4600";"2.0374";"0.4125";"10.3130";"4.5277"
"";"2.4800";"2.0541";"0.4165";"10.4117";"4.5646"
"";"2.5000";"2.0709";"0.4204";"10.5106";"4.6019"
"";"2.5200";"2.0875";"0.4245";"10.6130";"4.6388"
"";"2.5400";"2.1040";"0.4287";"10.7172";"4.6757"
"";"2.5600";"2.1207";"0.4329";"10.8219";"4.7128"
"";"2.5800";"2.1374";"0.4371";"10.9263";"4.7497"
"";"2.6000";"2.1541";"0.4412";"11.0307";"4.7869"
"";"2.6200";"2.1707";"0.4454";"11.1349";"4.8237"
"";"2.6400";"2.1872";"0.4495";"11.2379";"4.8605"
"";"2.6600";"2.2039";"0.4536";"11.3409";"4.8976"
"";"2.6800";"2.2206";"0.4577";"11.4436";"4.9348"
"";"2.7000";"2.2375";"0.4619";"11.5472";"4.9722"
"";"2.7200";"2.2541";"0.4660";"11.6495";"5.0090"
"";"2.7400";"2.2706";"0.4700";"11.7505";"5.0459"
"";"2.7600";"2.2874";"0.4741";"11.8514";"5.0830"
"";"2.7800";"2.3041";"0.4781";"11.9521";"5.1201"
"";"2.8000";"2.3207";"0.4821";"12.0532";"5.1572"
"";"2.8200";"2.3374";"0.4862";"12.1539";"5.1942"
"";"2.8400";"2.3540";"0.4901";"12.2536";"5.2310"
"";"2.8600";"2.3707";"0.4941";"12.3531";"5.2683"
"";"2.8800";"2.3876";"0.4981";"12.4520";"5.3057"
"";"2.9000";"2.4042";"0.5020";"12.5503";"5.3427"
"";"2.9200";"2.4208";"0.5059";"12.6475";"5.3796"
"";"2.9400";"2.4374";"0.5098";"12.7442";"5.4164"
"";"2.9600";"2.4542";"0.5137";"12.8415";"5.4537"
"";"2.9800";"2.4709";"0.5175";"12.9383";"5.4909"
"";"3.0000";"2.4875";"0.5214";"13.0339";"5.5277"
"";"3.0200";"2.5041";"0.5252";"13.1294";"5.5647"
"";"3.0400";"2.5207";"0.5289";"13.2236";"5.6017"
"";"3.0600";"2.5375";"0.5327";"13.3173";"5.6389"
"";"3.0800";"2.5544";"0.5364";"13.4109";"5.6764"
"";"3.1000";"2.5709";"0.5402";"13.5042";"5.7132"
"";"3.1200";"2.5874";"0.5439";"13.5963";"5.7499"
"";"3.1400";"2.6041";"0.5475";"13.6867";"5.7870"
"";"3.1600";"2.6208";"0.5511";"13.7778";"5.8240"
"";"3.1800";"2.6376";"0.5547";"13.8682";"5.8612"
"";"3.2000";"2.6540";"0.5583";"13.9579";"5.8979"
"";"3.2200";"2.6707";"0.5619";"14.0469";"5.9348"
"";"3.2400";"2.6874";"0.5654";"14.1348";"5.9720"
"";"3.2600";"2.7041";"0.5689";"14.2219";"6.0091"
"";"3.2800";"2.7210";"0.5724";"14.3098";"6.0466"
"";"3.3000";"2.7376";"0.5759";"14.3977";"6.0835"
"";"3.3200";"2.7541";"0.5793";"14.4836";"6.1203"
"";"3.3400";"2.7708";"0.5827";"14.5676";"6.1574"
"";"3.3600";"2.7875";"0.5861";"14.6514";"6.1944"
"";"3.3800";"2.8041";"0.5894";"14.7348";"6.2313"
"";"3.4000";"2.8207";"0.5927";"14.8170";"6.2682"
"";"3.4200";"2.8372";"0.5960";"14.8989";"6.3050"
"";"3.4400";"2.8540";"0.5993";"14.9813";"6.3422"
"";"3.4600";"2.8707";"0.6025";"15.0629";"6.3794"
"";"3.4800";"2.8875";"0.6058";"15.1454";"6.4166"
"";"3.5000";"2.9041";"0.6090";"15.2260";"6.4536"
"";"3.5200";"2.9206";"0.6122";"15.3046";"6.4903"
"";"3.5400";"2.9374";"0.6153";"15.3832";"6.5276"
"";"3.5600";"2.9541";"0.6185";"15.4624";"6.5647"
"";"3.5800";"2.9708";"0.6216";"15.5408";"6.6017"
"";"3.6000";"2.9874";"0.6247";"15.6173";"6.6386"
"";"3.6200";"3.0040";"0.6277";"15.6935";"6.6755"
"";"3.6400";"3.0207";"0.6308";"15.7698";"6.7127"
"";"3.6600";"3.0376";"0.6338";"15.8459";"6.7502"
"";"3.6800";"3.0542";"0.6369";"15.9219";"6.7871"
"";"3.7000";"3.0708";"0.6398";"15.9960";"6.8239"
"";"3.7200";"3.0873";"0.6428";"16.0693";"6.8607"
"";"3.7400";"3.1041";"0.6457";"16.1424";"6.8979"
"";"3.7600";"3.1209";"0.6486";"16.2145";"6.9353"
"";"3.7800";"3.1374";"0.6514";"16.2860";"6.9720"
"";"3.8000";"3.1541";"0.6543";"16.3566";"7.0090"
